label	statement
1	Under federal law, Jared Loughner would not have been able to buy a gun had he been identified as mentally ill.
1	Barack Obamas health care bill is nothing new. Mitt Romney signed one just like it four years before.
1	The DREAM Act was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadnt changed. ... The only thing that had changed was politics.
1	Says new EPA water regulations would force the state to make drainage canals every bit as clean as pristine Florida river systems.
0	No one in American history has moved from a June 16 announcement to a May 26 winning of a majority. Trumps achievement is remarkable.
1	The Republican plan for tax cuts is to give each millionaire -- the top 1 percent of income in this country -- $83,347 a year in tax cuts.
0	Of course, there is large scale voter fraud happening on and before election day.
0	Says his plan to raise car registration to $56 would still leave Virginia with a fee thats equal to or lower than most states.
0	In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American.
1	Says President Barack Obamas proposed budget includes two new tax increases that would collect about $14 billion.
1	The minimum wage is lower right now than it was when Ronald Reagan took office.
1	For every one mile of light-rail track that will be built, 16 miles of new road capacity will be built.
1	Our tax rates are lower now than they were under Ronald Reagan. Theyre much lower than they were under Dwight Eisenhower.
0	"Obama ""suggested bombing Pakistan."""
1	I've always said it's (offshore drilling) up to the states and I still say that.
0	Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.
1	My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.
1	The Republican budget plan says that 10 years from now, if youre a 65-year-old whos eligible for Medicare, you should have to pay nearly $6,400 more than you would today.
1	Says John Loughlin voted to let people accused of domestic violence keep their guns.
1	Says David Dewhurst accused Cruz of being a Red Chinese Communist.
0	SaysPresident Obama hijacked the farm bill (and) turned it into a food stamp bill.
0	Obama Announces Plans For A Third Term Presidential Run
1	(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.
0	The Books Sarah Palin tried to have banned.
1	Says the Panhandle has had its highest-ever bed tax collections in 2011.
